"","EVENT","M","Period","dBe"
"431","6000272",8,2,0.0204989833954051
"432","6000323",7.98,2,-0.32851219501048
"433","6000338",8.31,2,-0.304167493661034
"434","6000339",7.82,2,0.365568061712369
"435","ak0219neiszm",8.2,2,0.446553507857511
"436","us10007mn3",7.6,2,0.970413400876465
"437","us2000d3km",7.2,2,0.79683251869425
"438","us7000asvb",7.8,2,0.428092183219949
"439","us7000i9bw",7.6,2,0.493887599440506
"440","us7000kg30",7.2,2,0.265397370486878
"441","3000105",7.66,2.5,-0.0818224320189929
"442","3000177",7.38,2.5,-1.39894547883766
"443","4000001",9.12,2.5,-0.591503105114644
"444","4000002",7.36,2.5,-0.464017385442718
"445","4000068",8.29,2.5,-0.51799158129541
"446","4000094",7.76,2.5,-0.283549103017762
"447","4000095",8.26,2.5,-0.37932420211653
"448","4000096",7.65,2.5,-0.470054904686275
"449","4000165",6.74,2.5,-0.41022845525341
"450","6000057",8.41,2.5,1.11308579722677
"451","6000079",8.15,2.5,-0.208126442708823
"452","6000149",8.81,2.5,0.317816296109125
"453","6000272",8,2.5,0.0765148558588357
"454","6000323",7.98,2.5,-0.426958151443033
"455","6000338",8.31,2.5,-0.275089004464606
"456","6000339",7.82,2.5,0.369906330495872
"457","ak0219neiszm",8.2,2.5,0.459456726595471
"458","us10007mn3",7.6,2.5,1.00675572875635
"459","us2000d3km",7.2,2.5,0.894695991064126
"460","us7000asvb",7.8,2.5,0.428048185439637
"461","us7000i9bw",7.6,2.5,0.539288312416031
"462","us7000kg30",7.2,2.5,0.302042022437649
"463","3000105",7.66,3,-0.080285630719648
"464","3000177",7.38,3,-1.2527656624732
"465","4000001",9.12,3,-0.667956588946321
"466","4000002",7.36,3,-0.482913733969069
"467","4000068",8.29,3,-0.448143142754949
"468","4000094",7.76,3,-0.257204246885563
"469","4000096",7.65,3,-0.538708890602649
"470","4000165",6.74,3,-0.350149662919471
"471","6000057",8.41,3,1.05405298005432
"472","6000079",8.15,3,-0.141150011841606
"473","6000149",8.81,3,0.231481495113775
"474","6000272",8,3,0.169041936425869
"475","6000323",7.98,3,-0.479700894375006
"476","6000338",8.31,3,-0.342116208949338
"477","6000339",7.82,3,0.36990822680907
"478","ak0219neiszm",8.2,3,0.451146849199335
"479","us10007mn3",7.6,3,0.940179681940927
"480","us2000d3km",7.2,3,0.831467311023341
"481","us7000asvb",7.8,3,0.343935034980095
"482","us7000i9bw",7.6,3,0.44439816970055
"483","us7000kg30",7.2,3,0.205426053772934
"484","3000105",7.66,4,-0.173711373625737
"485","3000177",7.38,4,-1.14700281305259
"486","4000001",9.12,4,-0.614467547606557
"487","4000002",7.36,4,-0.486316297968591
"488","4000068",8.29,4,-0.365370466842519
"489","4000094",7.76,4,-0.37627109517038
"490","4000096",7.65,4,-0.608120776993877
"491","4000165",6.74,4,-0.435643893245399
"492","6000057",8.41,4,1.0345597279026
"493","6000079",8.15,4,-0.229452246728995
"494","6000149",8.81,4,0.237996315111496
